Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Stomp Switch","To toggle each effect",1,25.53,"https://www.daraz.com.np/products/miwayer-510pcs-3pdt-footswitch-latching-stomp-switch-triple-pole-double-throw-9-pin-latching-push-button-for-diy-guitar-pedal-i1514638928-s12313000382.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A9%252Bpin%252Bstomp%252Bswitches%253Bnid%253A1514638928%253Bsrc%253ALazadaMainSrp%253Brn%253A6830ca41aa799e440582e4810d32e2c0%253Bregion%253Anp%253Bsku%253A1514638928_NP%253Bprice%253A3953%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A7%253Butlog_bucket_id%253A470687%253Basc_category_id%253A3713%253Bitem_id%253A1514638928%253Bsku_id%253A12313000382%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=3953&priceCompare=skuId%3A12313000382%3Bsource%3Alazada-search-voucher%3Bsn%3A6830ca41aa799e440582e4810d32e2c0%3BoriginPrice%3A395300%3BdisplayPrice%3A395300%3BsinglePromotionId%3A400000000001000%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776233287236&ratingscore=&request_id=6830ca41aa799e440582e4810d32e2c0&review=&sale=1&search=1&source=search&spm=a211g0.searchlist.list.7&stock=1&upItemIds=1514638928","Daraz Nepal"
"50k Potentiometer","Used in circuit",1,7.38,"https://www.daraz.com.np/products/5pcs-wh148-3pin-20mm-potentiometer-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b250k-b500k-b1m-1k-2k-5k-10k-20k-50k-100k-250k-500k-1m-i481029516-s2161467444.html","Daraz Nepal"
"20k potentiometer","Used in circuit",1,5.08,"https://www.daraz.com.np/products/5pcs-wh148-3pin-20mm-potentiometer-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b250k-b500k-b1m-1k-2k-5k-10k-20k-50k-100k-250k-500k-1m-i481029516-s2161467443.html","Daraz Nepal"
"2k Potentiometer","Used in circuit",1,5.22,"https://www.daraz.com.np/products/5pcs-wh148-3pin-20mm-potentiometer-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b250k-b500k-b1m-1k-2k-5k-10k-20k-50k-100k-250k-500k-1m-i481029516-s2161467437.html","Daraz Nepal"
"10k Potentiometer","Used in circuit",1,0.63,"https://www.daraz.com.np/products/10k-potentiometer5-pcs-i135751077-s1060884241.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Apotentiometer%253Bnid%253A135751077%253Bsrc%253ALazadaMainSrp%253Brn%253A23e679233ce21c7145224ac55f10885f%253Bregion%253Anp%253Bsku%253A135751077_NP%253Bprice%253A94%253Bclient%253Adesktop%253Bsupplier_id%253A900151926015%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A2%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A135751077%253Bsku_id%253A1060884241%253Bshop_id%253A35700%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=94&priceCompare=skuId%3A1060884241%3Bsource%3Alazada-search-voucher%3Bsn%3A23e679233ce21c7145224ac55f10885f%3BoriginPrice%3A9400%3BdisplayPrice%3A9400%3BsinglePromotionId%3A50000041866007%3BsingleToolCode%3ApromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776157267691&ratingscore=4.5&request_id=23e679233ce21c7145224ac55f10885f&review=4&sale=17&search=1&source=search&spm=a2a0e.searchlist.list.2&stock=1","Daraz Nepal"
"100k Potentiometer","Used in circuit",1,1.24,"https://www.daraz.com.np/products/potentiometer-1k5k10k100k-5-pcs-i125469178-s1134645078.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Apotentiometer%253Bnid%253A125469178%253Bsrc%253ALazadaMainSrp%253Brn%253A4f98b8f1e03048077ab64d95229b6f97%253Bregion%253Anp%253Bsku%253A125469178_NP%253Bprice%253A185%253Bclient%253Adesktop%253Bsupplier_id%253A900156978057%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.np%252F%253Bslot%253A5%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A125469178%253Bsku_id%253A1134645078%253Bshop_id%253A87928%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=185&priceCompare=skuId%3A1134645078%3Bsource%3Alazada-search-voucher%3Bsn%3A4f98b8f1e03048077ab64d95229b6f97%3BoriginPrice%3A18500%3BdisplayPrice%3A18500%3BsinglePromotionId%3A-1%3BsingleToolCode%3A-1%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776157422285&ratingscore=4.086956521739131&request_id=4f98b8f1e03048077ab64d95229b6f97&review=23&sale=170&search=1&source=search&spm=a2a0e.searchlist.list.5&stock=1","Daraz Nepal"
"500k Potentiometer","Used in circuit",1,5.08,"https://www.daraz.com.np/products/5pcs-wh148-3pin-20mm-potentiometer-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b250k-b500k-b1m-1k-2k-5k-10k-20k-50k-100k-250k-500k-1m-i481029516-s2161467441.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Apotentiometer%253Bnid%253A481029516%253Bsrc%253ALazadaMainSrp%253Brn%253Af10e42714396faba190930989c619763%253Bregion%253Anp%253Bsku%253A481029516_NP%253Bprice%253A757%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.np%252F%253Bslot%253A28%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A481029516%253Bsku_id%253A2161467441%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=757&priceCompare=skuId%3A2161467441%3Bsource%3Alazada-search-voucher%3Bsn%3Af10e42714396faba190930989c619763%3BoriginPrice%3A75700%3BdisplayPrice%3A75700%3BsinglePromotionId%3A50000021970002%3BsingleToolCode%3AshopPromPrice_choiceEarlyBird%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776157455110&ratingscore=&request_id=f10e42714396faba190930989c619763&review=&sale=1&search=1&source=search&spm=a211g0.searchlist.list.28&stock=1&upItemIds=481029516","Daraz Nepal"
"B100k Potentiometer","Used in circuit",1,0.50,"https://www.daraz.com.np/products/2pcslot-wh148-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b500k-3pin-15mm-shaft-amplifier-dual-stereo-potentiometer-1k-2k-5k-10k-50k-100k-i185042267-s1223326071.html","Daraz Nepal"
"B500K Potentiometer","Used in circuit",1,0.50,"https://www.daraz.com.np/products/2pcslot-wh148-b1k-b2k-b5k-b10k-b20k-b50k-b100k-b500k-3pin-15mm-shaft-amplifier-dual-stereo-potentiometer-1k-2k-5k-10k-50k-100k-i185042267-s1223326071.html","Daraz Nepal"
"PCB","To house all the components",1,8.20,"https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006","JLCPCB"
