Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,22nF,
C12,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,220nF,
"C13, C19, C20, C21, C22, C27, C28, C34, C36",C_Disc_D3.0mm_W2.0mm_P2.50mm,9,100nF,
C14,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,100pF,
C15,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,1uF,
"C17, C18",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,47uF,
"C2, C39, C4, C40, C42, C5, C51, C6, C7",C_Disc_D3.0mm_W2.0mm_P2.50mm,9,0.1uF,
C23,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,3.3nF,
C24,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,1nF,
"C25, C26, C33",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,10nF,
"C3, PC10, PC11, PC29, PC35, PC38",CP_Radial_D4.0mm_P1.50mm,6,47uF,
C48,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,47pF,
C49,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,0.01uF,
COMPRESSION,PinSocket_1x03_P2.54mm_Vertical,1,25k,
"D1, D3, D4, D5, D7",D_DO-35_SOD27_P7.62mm_Horizontal,5,1N4148,
D2,LED_D5.0mm,1,LED,
"D6, D8",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5817,
D9,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
"DEPTH1, RATE1, ROTATE",PinSocket_1x03_P2.54mm_Vertical,3,50K,
GAIN,PinSocket_1x03_P2.54mm_Vertical,1,2k,
"GAIN1, VOLUME1",PinSocket_1x03_P2.54mm_Vertical,2,100K,
"J1, J10, J4, J5, J8",PinHeader_1x02_P1.00mm_Vertical,5,OUT,
J11,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
"J2, J3, J6, J7, J9",PinHeader_1x02_P1.00mm_Vertical,5,IN,
NOISE GATE,PinSocket_1x03_P2.54mm_Vertical,1,500k,
PC2,CP_Radial_D4.0mm_P1.50mm,1,0.47uF,
"PC3, PC37",CP_Radial_D4.0mm_P1.50mm,2,100uF,
"PC30, PC31, PC32, PC41, PC45, PC47, PC8, PC9",CP_Radial_D4.0mm_P1.50mm,8,10uF,
"PC43, PC46, PC50",CP_Radial_D4.0mm_P1.50mm,3,1uF,
PC44,CP_Radial_D4.0mm_P1.50mm,1,4.7uF,
Q1,TO-92_Inline,1,2N3904,
Q2,TO-92_Inline,1,NJFET,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2K,
"R10, R13, R18, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1M,
"R11, R14, R4, R41, R45, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,1K,
"R12, R15, R16, R21, R23, R24, R25, R26, R27, R28, R29, R37, R38, R43, R44, R46, R47, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,19,10K,
R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470k,
R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330k,
R2,R_LDR_4.9x4.2mm_P2.54mm_Vertical,1,VT93xx,
"R22, R39, R42",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,100k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470R,
R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,68k,
R31,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,33k,
R32,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100R,
R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k,
"R34, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,220k,
"R35, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7k,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47k,
"R48, R49, R50",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,2.2M,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,27K,
RV1,PinSocket_1x03_P2.54mm_Vertical,1,20K,
"RV2, TONE1",PinSocket_1x03_P2.54mm_Vertical,2,10K,
RV3,PinSocket_1x03_P2.54mm_Vertical,1,B500k,
RV4,PinSocket_1x03_P2.54mm_Vertical,1,B100k,
SW1,PinSocket_1x03_P2.54mm_Vertical,1,Chorus/Vibe,
SW2,PinSocket_1x02_P2.54mm_Vertical,1,SW_Nidec_CAS-120A1,
SW3,PinSocket_1x03_P2.54mm_Vertical,1,Space/Warble,
TOGGLE1,PinSocket_1x03_P2.54mm_Vertical,1,SW_Slide_DPDT,
U1,DIP-8_W7.62mm,1,TL072,
U2,DIP-8_W7.62mm,1,LM555xN,
"U3, U7, U8",TO-220-3_Vertical,3,LM7805_TO220,
"U4, U5",DIP-16_W7.62mm,2,PT2399,
U6,DIP-8_W7.62mm,1,NE5532,
U9,SO-14_3.9x8.65mm_P1.27mm,1,SSM2166,
